"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'FOB (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'FOB (Baht)')"
AO,ANGOLA,0,0,34000,1569780
AR,ARGENTINA,0,0,559775,37725711
AU,AUSTRALIA,742300,41579518,4088100,225717058
BD,BANGLADESH,593000,29610438,4468944,213363939
BR,BRAZIL,92000,6432855,2014700,127528914
KH,CAMBODIA,1050,50667,1050,50667
CL,CHILE,0,0,17000,741610
CN,CHINA,19799175,934535897,90170232,4145529009
CO,COLOMBIA,0,0,8500,382869
CG,CONGO,0,0,34000,1648771
DJ,DJIBOUTI,0,0,34000,1482927
DO,DOMINICAN REPUBLIC,1000,48769,1200,57328
EC,ECUADOR,17000,889411,187000,8860896
EG,EGYPT,0,0,220500,14072868
ET,ETHIOPIA,0,0,33000,1552464
FJ,FIJI,12500,607395,171750,7874831
PF,FRENCH POLYNESIA,0,0,1500,67352
DE,GERMANY,0,0,20,93
GT,GUATEMALA,0,0,510000,25599216
GN,GUINEA,0,0,221000,9749174
HK,HONG KONG,181125,9392070,890325,43428898
IN,INDIA,927360,48151287,8308862,417857962
ID,INDONESIA,2138350,113587971,16165981,831048058
IL,ISRAEL,0,0,52000,2576880
JP,JAPAN,843400,40938990,10086319,467885432
KR,"KOREA,REPUBLIC OF",750,18913,26225,1281522
LA,LAO PDR,2,553,246032,10894471
LR,LIBERIA,0,0,102000,4810353
MY,MALAYSIA,839325,42911277,5723175,292715427
MU,MAURITIUS,37500,1837933,345000,16277543
MM,MYANMAR,86500,4124762,475850,22199126
NL,NETHERLANDS,0,0,165000,8539834
NZ,NEW ZEALAND,129525,6409744,686950,32060817
NG,NIGERIA,0,0,936250,41037807
PK,PAKISTAN,166000,10160689,4596425,237047745
PE,PERU,0,0,51000,2116848
PH,PHILIPPINES,850125,45971164,7664025,393690346
SG,SINGAPORE,50,2437,351,17412
ZA,SOUTH AFRICA,336250,23938955,2420175,155355189
LK,SRI LANKA,100,4797,189150,9006742
TW,"TAIWAN, PROVINCE OF CHINA",100684,6007082,262286,15335308
TR,TÜRKIYE,150075,7755635,1384825,66601208
AE,UNITED ARAB EMIRATES,0,0,37500,1885744
GB,UNITED KINGDOM,0,0,1,114
US,UNITED STATES,56000,2652239,229275,10663472
VN,VIETNAM,2270900,114126793,9819125,473524836
SUM,SUM,30372046,1491748241,173640378,8381434571
