"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
AU,AUSTRALIA,1343230,60762054,10267610,476555499
BD,BANGLADESH,0,0,1935250,77719167
BE,BELGIUM,144000,8223167,2187450,116692201
BT,BHUTAN,0,0,148500,5471114
CN,CHINA,24597030,1207355777,262190625,12537697317
CO,COLOMBIA,0,0,74250,3105412
DJ,DJIBOUTI,0,0,290500,12399365
FJ,FIJI,0,0,34000,1444282
DE,GERMANY,0,0,122540,6777993
GH,GHANA,0,0,49500,2112403
HK,HONG KONG,62150,4399423,457230,27417241
IN,INDIA,986150,53314315,31375775,1352214048
ID,INDONESIA,5616980,240393716,54714640,2341694415
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,204000,15044795
IT,ITALY,0,0,22000,1175902
JP,JAPAN,8563025,409116446,72364850,3442759821
KZ,KAZAKHSTAN,0,0,31000,1285547
KR,"KOREA,REPUBLIC OF",820000,46615133,9054520,509459017
MY,MALAYSIA,1422020,61091555,12557752,564465601
MZ,MOZAMBIQUE,0,0,33000,1378483
MM,MYANMAR,132000,4174024,668250,22735625
NP,NEPAL,19800,1152745,410850,16206311
NZ,NEW ZEALAND,378310,17212113,5120915,239039557
NG,NIGERIA,33000,1267113,346500,14109416
PK,PAKISTAN,0,0,1081975,47117594
PG,PAPUA NEW GUINEA,0,0,16000,705492
PH,PHILIPPINES,638800,26423226,8773325,359954556
RE,REUNION,2000,82698,9500,414545
RU,RUSSIAN FEDERATION,61450,2554797,502950,21371524
SG,SINGAPORE,196900,12035687,1748025,108171097
SI,SLOVENIA,0,0,16500,686677
ZA,SOUTH AFRICA,82500,3303884,272500,11261312
ES,SPAIN,0,0,150,35099
LK,SRI LANKA,159500,6659435,1256750,52955107
CH,SWITZERLAND,0,0,100,18433
TW,"TAIWAN, PROVINCE OF CHINA",749750,33925905,7449484,354054392
UA,UKRAINE,0,0,32500,1389584
US,UNITED STATES,4000,163915,467750,38109744
VN,VIETNAM,806800,47690609,7098000,407178752
SUM,SUM,46819395,2247917737,493387016,23192384440
