"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'FOB (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'FOB (Baht)')"
AU,AUSTRALIA,576440,21280701,4043840,150720179
BD,BANGLADESH,24750,786996,97900,4323951
BE,BELGIUM,0,0,22500,1244220
KH,CAMBODIA,0,0,49500,1035200
CN,CHINA,49145421,1759859933,183114174,7244805958
DJ,DJIBOUTI,0,0,49500,1603949
FJ,FIJI,0,0,28000,884089
PF,FRENCH POLYNESIA,8000,259400,8000,259400
GH,GHANA,49500,1335598,49500,1335598
HK,HONG KONG,51918,2312026,181385,6919821
IN,INDIA,232000,11951730,3647300,165512055
ID,INDONESIA,3717245,117849788,28557805,982621428
JP,JAPAN,5075285,172739580,31032100,1172766341
KR,"KOREA,REPUBLIC OF",107100,5048658,2584590,119861965
MY,MALAYSIA,324830,11072853,2885270,106914025
MM,MYANMAR,12000,295795,168000,3599465
NZ,NEW ZEALAND,439360,15925560,2221070,82469590
PK,PAKISTAN,0,0,139400,5286295
PH,PHILIPPINES,781900,21021047,3924075,119407577
PT,PORTUGAL,100000,2288031,100000,2288031
SG,SINGAPORE,293350,14533645,1550050,77407883
LK,SRI LANKA,0,0,273000,9408907
TW,"TAIWAN, PROVINCE OF CHINA",788850,34336332,3910725,146920714
US,UNITED STATES,90000,6185420,219800,17570100
VN,VIETNAM,509650,19025201,2983825,133727395
SUM,SUM,62327599,2218108294,271841309,10558894136
