"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
AO,ANGOLA,0,0,212000,4846183
AU,AUSTRALIA,5000,531121,225000,6968834
BD,BANGLADESH,0,0,123750,9796532
BE,BELGIUM,192860,19424261,1114460,108017296
KH,CAMBODIA,54823,8713823,196008,30021701
CN,CHINA,241971,8087623,2104625,59461877
EG,EGYPT,0,0,49350,3319612
GH,GHANA,0,0,65000,1370865
HK,HONG KONG,0,0,795,79901
IN,INDIA,276800,20134147,3993335,269225879
ID,INDONESIA,51700,4654052,1249180,93200221
JP,JAPAN,12020,1111761,206431,16711143
KR,"KOREA,REPUBLIC OF",0,0,33000,2504534
LA,LAO PDR,0,0,529,162607
MG,MADAGASCAR,82500,1639719,990000,20852600
MY,MALAYSIA,1210,199227,262109,26848768
MU,MAURITIUS,0,0,32750,826065
MX,MEXICO,0,0,16000,857680
MM,MYANMAR,0,0,27201,681831
NL,NETHERLANDS,0,0,100,6808
PK,PAKISTAN,24175,1372289,101620,7171038
PH,PHILIPPINES,0,0,173928,13006254
SA,SAUDI ARABIA,36500,1986757,544050,33030864
SG,SINGAPORE,3000,714922,11050,2575147
ZA,SOUTH AFRICA,1500,127703,74000,3412235
LK,SRI LANKA,0,0,48196,932688
TW,"TAIWAN, PROVINCE OF CHINA",8550,577333,263662,26011610
TG,TOGO,0,0,16250,362079
TR,TÜRKIYE,12000,656411,12000,656411
AE,UNITED ARAB EMIRATES,30000,692972,150000,3394306
US,UNITED STATES,0,0,56100,2835182
VN,VIETNAM,8504,698297,173457,12762150
SUM,SUM,1043113,71322418,12525936,761910901
