"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'FOB (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,154000,9732637
BD,BANGLADESH,102000,6245650,850000,51765815
KH,CAMBODIA,0,0,1760,130633
CN,CHINA,1793000,111603376,16981400,1027109005
IN,INDIA,540000,33113149,3572000,214130842
ID,INDONESIA,136000,8434811,395500,23879365
JP,JAPAN,0,0,14250,990006
KR,"KOREA,REPUBLIC OF",0,0,11150,634435
MY,MALAYSIA,2875,481302,13000,1155348
MX,MEXICO,15968,1401620,15968,1401620
PK,PAKISTAN,34000,2114830,272000,16155964
PH,PHILIPPINES,0,0,1500,71459
SG,SINGAPORE,625,69040,9000,650575
LK,SRI LANKA,0,0,157960,9439758
TW,"TAIWAN, PROVINCE OF CHINA",1000,67559,1700,117333
US,UNITED STATES,0,0,88000,5379691
VN,VIETNAM,75000,4585032,199700,12147473
SUM,SUM,2700468,168116369,22738888,1374891959
