"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,10000,895630
CN,CHINA,37875,4639518,373045,38838760
IN,INDIA,528800,42510595,3062835,240345242
ID,INDONESIA,36000,2564766,393525,28649431
JP,JAPAN,0,0,6875,467706
KR,"KOREA,REPUBLIC OF",0,0,3650,507152
MY,MALAYSIA,0,0,210950,20039822
PH,PHILIPPINES,50,2232,115525,8169590
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12000,852103
SUM,SUM,602725,49717111,4188405,338765436
