"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
KH,CAMBODIA,0,0,5425,79600
CN,CHINA,643500,25271795,5273519,220857498
DE,GERMANY,215,6018,215,6018
HK,HONG KONG,0,0,2310,2007
IN,INDIA,185,127234,2222,1562831
ID,INDONESIA,0,0,30025,1742596
JP,JAPAN,1500,180559,7700,279084
KR,"KOREA,REPUBLIC OF",0,0,1025,31849
MY,MALAYSIA,22090,1238088,323194,18423784
PH,PHILIPPINES,0,0,91133,3995147
SG,SINGAPORE,22085,1210000,22085,1210000
TW,"TAIWAN, PROVINCE OF CHINA",1000,67450,1000,67450
SUM,SUM,690575,28101144,5759853,248257864
