"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
KH,CAMBODIA,0,0,49450,697600
CN,CHINA,0,0,1781525,76652421
HK,HONG KONG,0,0,1,97
IN,INDIA,0,0,3497,2267946
ID,INDONESIA,0,0,2200,103228
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
MY,MALAYSIA,92421,4941222,499654,25714601
PH,PHILIPPINES,0,0,35201,1758654
LK,SRI LANKA,0,0,2000,81486
SUM,SUM,92421,4941222,2374948,107298776
