"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'FOB (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'FOB (Baht)')"
CN,CHINA,12000,1439543,238494,20755424
IN,INDIA,129550,15244651,687350,88198776
ID,INDONESIA,21000,1789730,364700,40254232
KR,"KOREA,REPUBLIC OF",2000,268077,9000,1129422
MY,MALAYSIA,100,23044,100,23044
MX,MEXICO,0,0,99000,5681770
NZ,NEW ZEALAND,12000,1422431,24000,2785766
PK,PAKISTAN,0,0,2000,257998
PH,PHILIPPINES,0,0,22,7600
VN,VIETNAM,78000,4438626,88000,5206202
SUM,SUM,254650,24626102,1512666,164300234
