"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,54750,1891157
BD,BANGLADESH,0,0,884000,36943793
BR,BRAZIL,100000,5573235,535000,28602222
KH,CAMBODIA,3100,431033,459300,20439809
CN,CHINA,1821173,31377005,10348433,166759479
FJ,FIJI,0,0,32000,1227947
DE,GERMANY,0,0,3000,493760
GH,GHANA,0,0,68000,3434502
HK,HONG KONG,1103,108885,49403,2161286
IN,INDIA,869692,45666920,4414936,222112737
ID,INDONESIA,43900,2624766,8642890,380091836
JP,JAPAN,6773,748280,1008293,47219568
KE,KENYA,16250,536097,16250,536097
KR,"KOREA,REPUBLIC OF",84375,438959,291655,4026918
LA,LAO PDR,23300,2613531,191350,13820618
MY,MALAYSIA,12189,1361758,508540,24666111
MX,MEXICO,900,1767014,36900,3449911
MM,MYANMAR,495000,23944106,4585490,207395606
NZ,NEW ZEALAND,0,0,15000,769664
NG,NIGERIA,0,0,17000,752828
PK,PAKISTAN,5000,481462,118200,5129252
PH,PHILIPPINES,21576,2037411,1609412,70648900
PT,PORTUGAL,0,0,51000,2083886
QA,QATAR,0,0,102000,4689954
SG,SINGAPORE,103,29770,93618,4350613
SI,SLOVENIA,0,0,185130,8539996
ZA,SOUTH AFRICA,54000,3048476,138000,7556614
LK,SRI LANKA,0,0,57075,4156605
TW,"TAIWAN, PROVINCE OF CHINA",33500,2837895,60880,5545412
TR,TÜRKIYE,0,0,35800,2233483
GB,UNITED KINGDOM,0,0,99892,5117785
US,UNITED STATES,0,0,541,7897
VN,VIETNAM,365600,19136653,3691250,157594558
SUM,SUM,3957534,144763256,38404988,1444450804
