"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'FOB (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'FOB (Baht)')"
AU,AUSTRALIA,277800,17683717,277800,17683717
BE,BELGIUM,1,37,1,37
CN,CHINA,8433915,439433828,8433915,439433828
HK,HONG KONG,232507,11799780,232507,11799780
IN,INDIA,929850,50104508,929850,50104508
ID,INDONESIA,1545570,74172013,1545570,74172013
JP,JAPAN,2700575,169093820,2700575,169093820
KR,"KOREA,REPUBLIC OF",1383200,78092232,1383200,78092232
LA,LAO PDR,148800,3998000,148800,3998000
MY,MALAYSIA,2474975,111186130,2474975,111186130
MM,MYANMAR,330,13200,330,13200
NZ,NEW ZEALAND,38800,2771098,38800,2771098
PK,PAKISTAN,8800,453522,8800,453522
PH,PHILIPPINES,843700,37044753,843700,37044753
SG,SINGAPORE,226610,13676314,226610,13676314
ES,SPAIN,39600,2008812,39600,2008812
TW,"TAIWAN, PROVINCE OF CHINA",246025,12837647,246025,12837647
VN,VIETNAM,221430,12647605,221430,12647605
SUM,SUM,19752488,1037017016,19752488,1037017016
