"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'FOB (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'FOB (Baht)')"
BD,BANGLADESH,0,0,70500,2618673
BN,BRUNEI DARUSSALAM,0,0,22000,947669
CN,CHINA,0,0,137425,5337913
IN,INDIA,17000,1074282,150000,8908392
ID,INDONESIA,487000,22332188,3668104,161199217
JP,JAPAN,625,20708,3557,190267
LA,LAO PDR,15000,688483,15000,688483
PK,PAKISTAN,0,0,2800,277980
SG,SINGAPORE,0,0,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",18,11005,241,54020
TR,TÜRKIYE,1200,97807,18000,1417592
US,UNITED STATES,7400,623981,26825,2149119
VN,VIETNAM,50,8702,15550,1378593
SUM,SUM,528293,24857156,4130013,185169024
