"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
CN,CHINA,0,0,2025,136193
IN,INDIA,0,0,50,5486
ID,INDONESIA,25,2081,194916,14257362
JP,JAPAN,0,0,900,130475
MY,MALAYSIA,42000,2982137,126000,9000166
NL,NETHERLANDS,0,0,105,30770
ZA,SOUTH AFRICA,0,0,18775,1571525
LK,SRI LANKA,0,4770,0,4770
TW,"TAIWAN, PROVINCE OF CHINA",0,0,500,3225
VN,VIETNAM,25,2725,425,170079
SUM,SUM,42050,2991713,343696,25310051
