"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'FOB (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'FOB (Baht)')"
AR,ARGENTINA,74700,4947824,179800,12157942
AU,AUSTRALIA,417300,24124590,704300,40971181
BD,BANGLADESH,377750,18076184,838000,40245869
BR,BRAZIL,268500,18019048,433500,29145678
CN,CHINA,8818975,405271886,31688700,1448592500
EG,EGYPT,31000,1900012,78000,4863071
FJ,FIJI,16500,796820,16500,796820
GN,GUINEA,51000,2244478,51000,2244478
HK,HONG KONG,68250,4203288,70450,4427090
IN,INDIA,1183500,59190361,2219943,111627434
ID,INDONESIA,2063775,105755164,4128300,208084859
JP,JAPAN,753965,35758438,2630658,123375930
KR,"KOREA,REPUBLIC OF",21000,950585,21000,950585
LA,LAO PDR,96000,4896000,108000,5471925
MY,MALAYSIA,825750,42178678,1415400,75589286
MU,MAURITIUS,40000,1888186,40000,1888186
MM,MYANMAR,85000,3909943,238000,11000771
NL,NETHERLANDS,165000,8539834,165000,8539834
NZ,NEW ZEALAND,79500,3697564,179525,8609419
NG,NIGERIA,16500,811137,41250,1996760
PK,PAKISTAN,546500,28224987,1083575,55559061
PH,PHILIPPINES,434000,23173487,1423000,73224061
SG,SINGAPORE,0,0,1,82
ZA,SOUTH AFRICA,187500,11781860,300000,19384330
LK,SRI LANKA,34450,1630375,68700,3283698
TW,"TAIWAN, PROVINCE OF CHINA",25000,1216790,37000,1790091
TR,TÜRKIYE,241750,11599690,513750,25242048
US,UNITED STATES,36000,1658768,54000,2511720
VN,VIETNAM,990875,47248903,1456225,69661364
SUM,SUM,17950040,873694880,50183577,2391236073
