"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'FOB (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'FOB (Baht)')"
AO,ANGOLA,0,0,630200,17446992
AR,ARGENTINA,2250,80804,2250,80804
AU,AUSTRALIA,1046725,35160303,9921725,301801375
BH,BAHRAIN,0,0,49500,1404459
BD,BANGLADESH,286000,8421944,4113000,118219553
BR,BRAZIL,53000,1528787,103750,2969128
BN,BRUNEI DARUSSALAM,0,0,2000,60684
KH,CAMBODIA,773450,26494205,8477650,273941773
CA,CANADA,46000,1676745,1568275,53361196
CL,CHILE,100000,3126772,250025,7664856
CN,CHINA,28187486,867909213,229974446,6394927218
CG,CONGO,0,0,315000,8359058
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",0,0,2000,68301
CI,COTE D IVOIRE,0,0,469000,11905161
CZ,CZECH REPUBLIC,0,0,23950,1004236
DJ,DJIBOUTI,227500,6350557,3047800,78674196
FJ,FIJI,12000,358367,328950,10977214
FI,FINLAND,0,0,72000,2184411
FR,FRANCE,43900,1892699,319875,11171415
PF,FRENCH POLYNESIA,27000,969263,296375,9580805
GA,GABON,13500,476152,165500,5039967
GM,GAMBIA,0,0,17500,404442
DE,GERMANY,200000,7925956,3008500,117493391
GH,GHANA,0,0,545600,16830168
GR,GREECE,95950,3669883,444200,17480926
HK,HONG KONG,0,0,18000,560214
IN,INDIA,277700,9819493,4543475,150958052
ID,INDONESIA,6596550,189304001,61600525,1636779676
IL,ISRAEL,836025,28560077,6959850,212428315
JP,JAPAN,1167500,36276766,19922164,558612660
KZ,KAZAKHSTAN,105000,3113371,885000,22854591
KE,KENYA,51000,2034215,1729775,50255818
KR,"KOREA,REPUBLIC OF",23000,1390098,300025,23632918
LA,LAO PDR,151025,5086166,1453175,40890092
LV,LATVIA,0,0,74975,2420931
LT,LITHUANIA,0,0,50650,1834556
MG,MADAGASCAR,21925,784531,232625,8069696
MY,MALAYSIA,3389500,105077680,28738325,811161421
MU,MAURITIUS,149325,5930994,1053525,41734713
MX,MEXICO,3000,381702,85300,6524541
MA,MOROCCO,0,0,750,26645
MZ,MOZAMBIQUE,35000,1061486,277700,7569503
MM,MYANMAR,413125,14062114,5850800,174579482
nan,NAMIBIA,0,0,52400,1877168
NL,NETHERLANDS,92000,3687037,808175,33006761
NC,NEW CALEDONIA,13500,484632,317500,9817319
NZ,NEW ZEALAND,800700,28510826,8829500,292176412
NG,NIGERIA,85000,1815047,2227000,47777432
OM,OMAN,0,0,42250,1249164
PK,PAKISTAN,85500,3152260,362300,12773131
PG,PAPUA NEW GUINEA,56800,2336878,309050,12527441
PH,PHILIPPINES,670400,20407778,9114025,249808429
PL,POLAND,17500,543137,771000,23271495
QA,QATAR,339750,10482741,1414500,40490023
RE,REUNION,65000,2416183,283475,10683445
RO,ROMANIA,0,0,105000,3687460
RU,RUSSIAN FEDERATION,17500,536159,1183775,34514872
WS,SAMOA,0,0,14200,581817
SA,SAUDI ARABIA,0,0,17500,550041
SN,SENEGAL,28400,1119666,620025,23501675
SG,SINGAPORE,75250,2505770,608170,25123973
SB,SOLOMON ISLANDS,0,0,27975,1144339
SO,SOMALIA,35200,1122018,239600,7799704
ZA,SOUTH AFRICA,157500,5064493,1336050,37979032
LK,SRI LANKA,25500,891681,632100,19283564
SE,SWEDEN,0,0,215775,8148158
TW,"TAIWAN, PROVINCE OF CHINA",119500,3807840,1193075,41130508
TZ,TANZANIA UNITED REPUBLIC OF,0,0,218000,6087397
TL,TIMOR-LESTE,0,0,33400,1401142
TG,TOGO,0,0,281500,7627210
TR,TÜRKIYE,151200,6182481,368150,14478371
UA,UKRAINE,124500,4224768,1532250,46207565
AE,UNITED ARAB EMIRATES,168050,5494688,2892350,82520167
GB,UNITED KINGDOM,198000,6118736,2153250,62056500
US,UNITED STATES,0,0,66000,2421721
VN,VIETNAM,5528350,168826094,59195825,1672808146
YE,YEMEN,0,0,205000,5389712
SUM,SUM,53189536,1648655257,495595855,14053846847
