"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'FOB (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,54750,1891157
BD,BANGLADESH,136000,5812873,884000,36943793
BR,BRAZIL,187500,9990315,355000,18808327
KH,CAMBODIA,193050,8296349,435450,18744392
CN,CHINA,2473579,53513315,4600528,88398107
GH,GHANA,0,0,68000,3434502
HK,HONG KONG,0,0,48000,2019918
IN,INDIA,1278350,63927355,2073415,100938327
ID,INDONESIA,3271450,145785400,8555470,374697283
JP,JAPAN,472715,21624367,982991,44074616
KR,"KOREA,REPUBLIC OF",26170,1260786,133167,3012836
LA,LAO PDR,36050,2272464,66050,3652002
MY,MALAYSIA,256882,11998093,383629,19014746
MX,MEXICO,12000,555389,36000,1682897
MM,MYANMAR,1235000,53282649,2825090,121295710
NZ,NEW ZEALAND,0,0,15000,769664
NG,NIGERIA,17000,752828,17000,752828
PK,PAKISTAN,30100,1066673,66650,2535113
PH,PHILIPPINES,916971,38419436,1555471,65258809
PT,PORTUGAL,0,0,51000,2083886
QA,QATAR,0,0,102000,4689954
SG,SINGAPORE,59500,2783335,93500,4299843
SI,SLOVENIA,69490,3343930,138870,6485105
ZA,SOUTH AFRICA,0,0,64000,3357438
LK,SRI LANKA,1575,474968,54100,3228028
TW,"TAIWAN, PROVINCE OF CHINA",2500,207516,8860,999150
TR,TÜRKIYE,22000,1184304,35800,2233483
GB,UNITED KINGDOM,49916,2375771,49916,2375771
VN,VIETNAM,1038500,42394057,3138475,127393749
SUM,SUM,11786298,471322173,26892182,1065071434
