"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
AR,ARGENTINA,0,0,54000,3380488
AU,AUSTRALIA,15000,336763,156813,4870953
BD,BANGLADESH,12000,1147067,244750,19412360
BE,BELGIUM,81600,8690450,1501340,148054388
KH,CAMBODIA,0,0,260483,37821893
CN,CHINA,609525,61378202,2819204,254482570
CZ,CZECH REPUBLIC,0,0,492,34418
EG,EGYPT,0,0,144000,8261343
DE,GERMANY,0,0,1706,75504
GN,GUINEA,0,0,54000,1170195
HK,HONG KONG,0,0,1,16
IN,INDIA,678060,53533940,4895300,355140494
ID,INDONESIA,192075,18813728,1721865,135586948
JP,JAPAN,117432,10913074,447351,35965064
KR,"KOREA,REPUBLIC OF",0,0,44975,4247779
LA,LAO PDR,0,0,306,80753
MY,MALAYSIA,23000,2530617,356772,31928451
MU,MAURITIUS,16200,438585,48600,1222116
MX,MEXICO,0,0,16000,874149
MM,MYANMAR,9200,871282,15541,1514958
NL,NETHERLANDS,0,0,20,2000
PK,PAKISTAN,12200,855808,81375,6452692
PH,PHILIPPINES,0,0,220320,16089738
SA,SAUDI ARABIA,72125,5922624,329375,24236176
SG,SINGAPORE,0,0,1020,213180
ZA,SOUTH AFRICA,12000,1181943,38110,3526975
LK,SRI LANKA,0,0,16088,386731
TW,"TAIWAN, PROVINCE OF CHINA",23000,2482803,294400,29108251
AE,UNITED ARAB EMIRATES,0,0,294700,11805772
US,UNITED STATES,525,45286,13775,1178795
VN,VIETNAM,63888,4076491,290667,20738780
SUM,SUM,1937830,173218663,14363349,1157863930
