"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AO,ANGOLA,132000,5178741,132000,5178741
AU,AUSTRALIA,926775,42803762,926775,42803762
BD,BANGLADESH,3978000,161644946,3978000,161644946
KH,CAMBODIA,470025,19403374,470025,19403374
CN,CHINA,8146500,315038144,8146500,315038144
DJ,DJIBOUTI,49500,2297748,49500,2297748
GA,GABON,81000,1484353,81000,1484353
GH,GHANA,17000,805964,17000,805964
HK,HONG KONG,217010,8236650,217010,8236650
IN,INDIA,822800,35363132,822800,35363132
ID,INDONESIA,9214550,400210213,9214550,400210213
JP,JAPAN,589375,28192536,589375,28192536
KE,KENYA,85500,3792481,85500,3792481
KR,"KOREA,REPUBLIC OF",3250,161546,3250,161546
LA,LAO PDR,48000,1943152,48000,1943152
MY,MALAYSIA,983020,42278471,983020,42278471
MU,MAURITIUS,28500,1462154,28500,1462154
MM,MYANMAR,2280000,96482914,2280000,96482914
NZ,NEW ZEALAND,210285,9800810,210285,9800810
NG,NIGERIA,204000,7952531,204000,7952531
PK,PAKISTAN,711500,26428282,711500,26428282
PE,PERU,408000,18138888,408000,18138888
PH,PHILIPPINES,1217500,50637804,1217500,50637804
PT,PORTUGAL,4500,237896,4500,237896
QA,QATAR,51000,2395955,51000,2395955
SG,SINGAPORE,17000,694639,17000,694639
ZA,SOUTH AFRICA,44400,2836001,44400,2836001
LK,SRI LANKA,68000,3002056,68000,3002056
TW,"TAIWAN, PROVINCE OF CHINA",68500,3702821,68500,3702821
TZ,TANZANIA UNITED REPUBLIC OF,75000,3553460,75000,3553460
TR,TÜRKIYE,84007,4217156,84007,4217156
US,UNITED STATES,63000,3187110,63000,3187110
VN,VIETNAM,4695650,192424256,4695650,192424256
SUM,SUM,35995147,1495989946,35995147,1495989946
