"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'FOB (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,244091,7309517
BD,BANGLADESH,0,0,68480,3064575
BE,BELGIUM,0,0,500,31279
CN,CHINA,0,0,46064,6447719
DJ,DJIBOUTI,0,0,34000,1531031
HK,HONG KONG,0,0,7000,346217
ID,INDONESIA,32000,1836310,393143,22306681
JP,JAPAN,0,0,114976,5338598
KR,"KOREA,REPUBLIC OF",0,0,1731,167279
MY,MALAYSIA,0,0,18500,883835
MM,MYANMAR,0,0,200,17244
PK,PAKISTAN,0,0,18125,1169585
PH,PHILIPPINES,0,0,51075,2312709
SG,SINGAPORE,1551,61239,1551,61239
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6060,161531
US,UNITED STATES,0,0,200,15314
VU,VANUATU,1000,62557,1000,62557
VN,VIETNAM,72860,4804665,995168,89033755
SUM,SUM,107411,6764771,2001864,140260665
