"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'FOB (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,0,39
KH,CAMBODIA,0,0,4,1834
CN,CHINA,155,8862,155,8891
EG,EGYPT,0,0,8,8723
FR,FRANCE,0,0,5,326
DE,GERMANY,0,0,500,3944
IN,INDIA,0,0,3,2873
ID,INDONESIA,0,0,375,18383
LA,LAO PDR,1,0,1,0
NL,NETHERLANDS,0,0,23,75628
PK,PAKISTAN,0,0,1,60
SG,SINGAPORE,0,29,9,77326
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,295
AE,UNITED ARAB EMIRATES,0,0,0,60
US,UNITED STATES,0,0,0,58
VN,VIETNAM,51000,1642492,51000,1642492
SUM,SUM,51156,1651383,52084,1840932
