"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'FOB (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,12000,1513740
BD,BANGLADESH,0,0,50750,4965144
BE,BELGIUM,312000,34446244,468000,51701989
KH,CAMBODIA,80,21000,80,33698
CN,CHINA,287522,10121376,477549,27218492
HK,HONG KONG,0,0,5000,479791
IN,INDIA,422800,37308615,673875,59786659
ID,INDONESIA,205080,19796528,319605,31198280
JP,JAPAN,45431,3667160,113267,9636027
KR,"KOREA,REPUBLIC OF",275,9027,275,9027
LA,LAO PDR,94,20203,199,42953
MY,MALAYSIA,34600,4213442,60075,7187001
MU,MAURITIUS,48600,1403834,48600,1403834
MM,MYANMAR,192,28096,1280,105914
PH,PHILIPPINES,13112,1239485,13230,1290402
SA,SAUDI ARABIA,96800,7394061,96800,7394061
ZA,SOUTH AFRICA,62925,4833945,63925,4940855
LK,SRI LANKA,0,0,1467,32286
TW,"TAIWAN, PROVINCE OF CHINA",60000,6983579,87000,10843991
AE,UNITED ARAB EMIRATES,30000,782534,54175,2699500
VN,VIETNAM,27174,2796982,69224,6382836
SUM,SUM,1646685,135066111,2616376,228866480
