"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2015', 'Quantity')","('Apr 2015', 'FOB (Baht)')","('Jan - Apr 2015', 'Quantity')","('Jan - Apr 2015', 'FOB (Baht)')"
AR,ARGENTINA,89900,6897074,367600,28850615
AU,AUSTRALIA,15000,1334917,75504,7723123
BD,BANGLADESH,0,0,20600,2080744
BE,BELGIUM,0,0,104,2641
CN,CHINA,148900,7940114,1066675,72886514
EG,EGYPT,0,0,89000,5871726
GH,GHANA,0,0,129250,3446864
HK,HONG KONG,3,30223,9703,705837
IN,INDIA,190500,18347363,726925,66173771
ID,INDONESIA,171550,12894398,556255,46554189
JP,JAPAN,103101,2580838,288451,7922507
KE,KENYA,26250,757734,76750,2358669
KR,"KOREA,REPUBLIC OF",12000,872879,24851,1697583
LA,LAO PDR,0,0,39,19078
MY,MALAYSIA,100570,7127292,388053,28415807
MV,MALDIVES,0,0,6,5000
MM,MYANMAR,0,0,2000,173200
PK,PAKISTAN,0,0,16000,536693
PH,PHILIPPINES,12000,1091376,39810,4895747
PT,PORTUGAL,75,7423,75,7423
SN,SENEGAL,0,0,32000,1107586
SG,SINGAPORE,24750,1178184,74250,3467378
LK,SRI LANKA,0,0,16600,466847
TW,"TAIWAN, PROVINCE OF CHINA",12785,1278269,94531,9175807
AE,UNITED ARAB EMIRATES,30000,812610,136000,3555740
US,UNITED STATES,0,0,18000,1498767
VN,VIETNAM,36000,2126395,104626,8645624
SUM,SUM,973384,65277089,4353658,308245480
