"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
AO,ANGOLA,0,0,49500,2601630
AU,AUSTRALIA,493820,22448285,5595970,250332905
BD,BANGLADESH,65100,4174883,815175,36741244
BE,BELGIUM,0,0,406800,17546425
BR,BRAZIL,0,0,250000,9941085
KH,CAMBODIA,0,0,24750,1211810
CN,CHINA,39434521,2131828493,319052836,15921818141
CO,COLOMBIA,0,0,650000,26426521
DK,DENMARK,500,85016,500,85016
DJ,DJIBOUTI,0,0,49500,1504905
EC,ECUADOR,0,0,375000,15172904
EG,EGYPT,0,0,25,2050
FJ,FIJI,0,0,65500,2860743
PF,FRENCH POLYNESIA,0,0,7500,314961
DE,GERMANY,0,0,20,1455
GH,GHANA,0,0,145500,5174234
HK,HONG KONG,25500,1237868,265320,11702364
IN,INDIA,820500,48900918,15413025,748700118
ID,INDONESIA,8291055,375284771,55085385,2374935828
IT,ITALY,0,0,100,2653
JP,JAPAN,6762825,384628517,52880485,2434469403
KZ,KAZAKHSTAN,0,0,58750,2413019
KR,"KOREA,REPUBLIC OF",409400,29260715,5387550,339870619
MY,MALAYSIA,698050,31154022,8562680,382363275
MU,MAURITIUS,0,0,72500,2684056
MM,MYANMAR,145500,6144620,622000,25451983
NL,NETHERLANDS,13,330,13,330
NZ,NEW ZEALAND,644190,33603511,3179505,154218914
PK,PAKISTAN,25500,1285486,585650,25677953
PE,PERU,0,0,250000,9144671
PH,PHILIPPINES,943800,39619062,8438875,347605605
PT,PORTUGAL,0,0,1284500,48045697
RE,REUNION,5000,201072,37250,1667088
RU,RUSSIAN FEDERATION,0,0,90000,3966915
SG,SINGAPORE,50750,2709399,3055800,175041826
ZA,SOUTH AFRICA,0,0,33000,1342034
ES,SPAIN,0,0,132075,5097853
LK,SRI LANKA,0,0,64250,2871754
CH,SWITZERLAND,0,0,225,15377
TW,"TAIWAN, PROVINCE OF CHINA",923775,42526745,8490576,408275081
TR,TÜRKIYE,0,0,504500,19244460
UA,UKRAINE,0,0,40500,1885481
US,UNITED STATES,12009,486193,412759,28881867
VN,VIETNAM,1108500,62357508,12321850,633137306
SUM,SUM,60860308,3217937414,504757699,24480449559
