"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,750,146260
BD,BANGLADESH,0,0,15000,776956
BE,BELGIUM,0,76,0,76
KH,CAMBODIA,120,55168,1335,108568
CN,CHINA,576831,3487292,12753815,95041382
DK,DENMARK,0,0,128,3158
DO,DOMINICAN REPUBLIC,0,0,69000,3399461
HK,HONG KONG,0,0,1300,16221
IN,INDIA,132000,5177922,1153000,44828965
ID,INDONESIA,0,0,0,184
IT,ITALY,0,0,1355,2802
JP,JAPAN,0,0,500,22474
KR,"KOREA,REPUBLIC OF",0,0,537007,3403938
LA,LAO PDR,280,28812,3790,501069
MY,MALAYSIA,0,0,27000,134757
MM,MYANMAR,0,0,204,309350
NL,NETHERLANDS,0,0,25,4830
NC,NEW CALEDONIA,0,0,465,25600
OM,OMAN,0,0,5,10000
RE,REUNION,0,0,80,5250
SC,SEYCHELLES,0,0,173,26280
SG,SINGAPORE,0,0,2,3964
LK,SRI LANKA,0,0,8000,691883
CH,SWITZERLAND,0,0,46,1701
VN,VIETNAM,0,0,67954,3219936
SUM,SUM,709231,8749270,14640934,152685065
