"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
AU,AUSTRALIA,11000,1004450,22000,2036004
CN,CHINA,180550,9148266,455843,15748495
HK,HONG KONG,0,0,64000,2578773
IN,INDIA,200,19597,200,19597
ID,INDONESIA,63200,2840083,179300,7966513
JP,JAPAN,16300,851806,16300,851806
KR,"KOREA,REPUBLIC OF",1000,106467,1000,106467
MX,MEXICO,15000,690135,30000,1371191
VN,VIETNAM,56000,2404732,112000,4785249
SUM,SUM,343250,17065536,880643,35464095
