"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'FOB (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,83880,8573072
BD,BANGLADESH,0,0,12000,1499213
CN,CHINA,103380,9424908,441905,31267859
IN,INDIA,50175,6262187,247125,28839042
ID,INDONESIA,32650,2996563,98275,9233884
JP,JAPAN,0,0,160,22197
KR,"KOREA,REPUBLIC OF",0,0,129,13003
LA,LAO PDR,0,0,7000,380662
MY,MALAYSIA,36575,3247092,71100,6211771
MM,MYANMAR,0,0,20400,690617
NZ,NEW ZEALAND,0,0,11460,1411688
PK,PAKISTAN,8750,625551,8750,625551
PH,PHILIPPINES,3500,328140,9200,890265
SG,SINGAPORE,0,0,540,77440
LK,SRI LANKA,0,0,2750,203609
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12625,293135
VN,VIETNAM,8200,1136019,18225,2549187
SUM,SUM,243230,24020460,1045524,92782195
