"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'FOB (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,49000,3238566
BD,BANGLADESH,306000,15841518,2380000,131881135
KH,CAMBODIA,15000,909675,15000,909675
CN,CHINA,3037000,179101441,18718900,1125285804
DJ,DJIBOUTI,0,0,68000,3836434
ET,ETHIOPIA,0,0,102000,6018536
DE,GERMANY,0,0,1000,58183
HK,HONG KONG,25000,875000,25000,875000
IN,INDIA,1017000,62774025,9626000,565103203
ID,INDONESIA,82000,4808549,687625,41584610
JP,JAPAN,0,0,1375,75377
KR,"KOREA,REPUBLIC OF",1000,50369,5975,350994
MY,MALAYSIA,50640,1855179,125640,6789234
MU,MAURITIUS,0,0,3000,192126
NO,NORWAY,0,0,2,6105
PK,PAKISTAN,476000,26826230,2091000,118387799
PH,PHILIPPINES,68275,4173611,143311,8612860
SG,SINGAPORE,2000,117735,4100,246504
LK,SRI LANKA,68000,4194920,646000,38080764
SY,SYRIAN ARAB REPUBLIC,0,0,80000,4767003
TW,"TAIWAN, PROVINCE OF CHINA",200,25820,2200,143657
TR,TÜRKIYE,17000,1083034,17000,1083034
US,UNITED STATES,12000,735091,50000,3406561
VN,VIETNAM,404000,25314089,1601750,98286642
SUM,SUM,5581115,328686286,36443878,2159219806
