"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'FOB (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'FOB (Baht)')"
CN,CHINA,25,1523,19050,1821432
ID,INDONESIA,80750,4968309,769675,48016584
JP,JAPAN,0,0,22962,1818956
KR,"KOREA,REPUBLIC OF",0,0,3500,115152
MY,MALAYSIA,14000,823329,84025,5030878
MX,MEXICO,0,0,50,2484
ZA,SOUTH AFRICA,15000,959839,56200,4017797
US,UNITED STATES,0,0,12325,1492755
VN,VIETNAM,0,0,1925,689286
SUM,SUM,109775,6753000,969712,63005324
