"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,17000,703951
AR,ARGENTINA,0,0,717250,55645027
AU,AUSTRALIA,90000,2393627,1836665,77894209
AT,AUSTRIA,900,56997,900,56997
BD,BANGLADESH,627510,27840668,4749505,215665509
BE,BELGIUM,154000,12620016,730000,56381706
BR,BRAZIL,279000,11860485,1438700,61602867
KH,CAMBODIA,522200,19051239,2164610,84613960
CA,CANADA,700,29196,700,29196
CN,CHINA,3245636,117912649,33650292,1351507703
CO,COLOMBIA,0,0,33500,1381939
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",198000,8093704,255000,10692152
DJ,DJIBOUTI,247500,9034885,627000,22970385
EC,ECUADOR,0,0,750,32079
EG,EGYPT,0,0,80,2851
ET,ETHIOPIA,33000,1331343,33100,1335977
FJ,FIJI,17000,645157,39000,1555779
PF,FRENCH POLYNESIA,30000,1148770,60000,2357998
DE,GERMANY,3680,124633,6780,188446
GH,GHANA,32500,738922,81250,2134039
HK,HONG KONG,2357575,82215943,12279308,470799056
IN,INDIA,983475,36196431,5033150,189616071
ID,INDONESIA,7429450,275086077,58987421,2383258870
IL,ISRAEL,0,0,72050,3261296
JP,JAPAN,1108385,42494820,4399795,184731409
KE,KENYA,16300,512707,84300,3590926
KR,"KOREA,REPUBLIC OF",28060,2617806,139560,12015432
LA,LAO PDR,70000,2881256,399975,16869315
MG,MADAGASCAR,181500,5574015,1221000,34901215
MW,MALAWI,0,0,81000,2063090
MY,MALAYSIA,1351950,51831119,7466476,309878638
MU,MAURITIUS,75500,3194328,372500,16101301
MX,MEXICO,12000,432061,53000,2223017
MZ,MOZAMBIQUE,204000,7459853,269000,9613744
MM,MYANMAR,682500,25239638,2274100,87139561
NL,NETHERLANDS,0,0,2000,882557
NC,NEW CALEDONIA,2000,76584,2000,76584
NZ,NEW ZEALAND,47000,1426402,309675,10588296
NG,NIGERIA,102000,3821713,119000,4528844
OM,OMAN,0,0,136000,5687473
PK,PAKISTAN,9000,743223,842700,43690540
PG,PAPUA NEW GUINEA,33000,1308777,33000,1308777
PH,PHILIPPINES,1060000,39972736,7492450,306882888
PT,PORTUGAL,0,0,6500,285088
RU,RUSSIAN FEDERATION,0,0,25,1156
SG,SINGAPORE,86575,3310287,561471,23419318
ZA,SOUTH AFRICA,65000,4618426,852475,61041049
LK,SRI LANKA,43300,3085435,546800,31633678
SD,SUDAN,34000,1334261,34000,1334261
CH,SWITZERLAND,0,0,800,38400
TW,"TAIWAN, PROVINCE OF CHINA",0,0,165759,7300405
TZ,TANZANIA UNITED REPUBLIC OF,0,0,24000,1054918
TR,TÜRKIYE,500,66156,104925,3930351
AE,UNITED ARAB EMIRATES,99000,3838892,511500,21035404
GB,UNITED KINGDOM,300,42000,300,42000
US,UNITED STATES,106500,14791958,514876,45494206
VN,VIETNAM,6189175,231399493,16335800,653467681
SUM,SUM,27859671,1058454688,168170773,6896539585
