"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AR,ARGENTINA,0,32,677350,51500133
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,0,0,7750,733426
DE,GERMANY,0,0,100,5982
IN,INDIA,0,0,5000,457761
ID,INDONESIA,49000,2771169,369275,24550467
JP,JAPAN,2,73,71301,5924587
KR,"KOREA,REPUBLIC OF",0,0,925,24411
LA,LAO PDR,0,0,650,56550
MY,MALAYSIA,0,0,1950,216104
PK,PAKISTAN,0,16,2500,290091
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82600
VN,VIETNAM,60000,2984226,696375,42809571
SUM,SUM,109002,5755516,1837814,127372618
