"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
AU,AUSTRALIA,250,51253,500,111175
BD,BANGLADESH,0,0,15000,776956
KH,CAMBODIA,0,0,15,1000
CN,CHINA,1231709,9425891,8662655,65576144
DO,DOMINICAN REPUBLIC,23000,1244256,46000,2308893
IN,INDIA,115500,4807380,608500,23016440
IT,ITALY,1355,2802,1355,2802
KR,"KOREA,REPUBLIC OF",0,0,225567,1353712
LA,LAO PDR,450,99000,3238,414165
MM,MYANMAR,0,0,184,307000
OM,OMAN,5,10000,5,10000
RE,REUNION,0,0,80,5250
SC,SEYCHELLES,0,0,71,13860
SG,SINGAPORE,0,0,2,3964
VN,VIETNAM,0,0,53900,2588384
SUM,SUM,1372269,15640582,9617072,96489745
