"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
CN,CHINA,16000,877984,105000,4516329
HK,HONG KONG,0,0,9325,535585
IN,INDIA,0,0,5150,397815
ID,INDONESIA,49600,7213011,193900,27700168
JP,JAPAN,0,0,1325,119596
LA,LAO PDR,14500,649500,174000,7880625
PK,PAKISTAN,0,0,4475,251483
PH,PHILIPPINES,18000,1041881,116000,6269184
US,UNITED STATES,0,0,100,12940
VN,VIETNAM,88000,4291602,368000,17799736
SUM,SUM,186100,14073978,977275,65483461
