"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'FOB (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'FOB (Baht)')"
AU,AUSTRALIA,101960,2735284,245960,6118300
BR,BRAZIL,72000,3376314,72000,3376314
KH,CAMBODIA,2112,20000,3312,80762
CA,CANADA,0,0,1300,47195
CN,CHINA,1644961,25951598,4232869,57810822
DJ,DJIBOUTI,51669,246648,51669,246648
DE,GERMANY,4100,168075,4130,171075
HK,HONG KONG,0,0,475,19252
IN,INDIA,1640165,71528751,4525733,201018730
ID,INDONESIA,54347,4084210,93309,7685353
IE,IRELAND,50,7460,50,7460
JP,JAPAN,575,69357,3139,518706
KR,"KOREA,REPUBLIC OF",15425,91330,16502,106740
LA,LAO PDR,147246,6925909,245046,12117178
MG,MADAGASCAR,47000,1259895,142000,3693233
MY,MALAYSIA,14189,1893181,56867,6326954
MV,MALDIVES,0,0,4,16076
MX,MEXICO,72000,2564739,96000,3431629
MM,MYANMAR,108675,3341051,385314,14233966
PH,PHILIPPINES,23960,2480865,57473,6486473
PL,POLAND,103400,2291680,147160,3219791
SG,SINGAPORE,0,0,300,17398
SI,SLOVENIA,88000,4929300,249680,14207328
ZA,SOUTH AFRICA,10000,607200,30000,1821600
LK,SRI LANKA,900,254324,1600,466018
TW,"TAIWAN, PROVINCE OF CHINA",15000,1192519,15000,1192519
US,UNITED STATES,200,8347,20850,2965808
VN,VIETNAM,73250,4986936,216910,11693103
SUM,SUM,4291184,141014973,10914652,359096431
