"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'FOB (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'FOB (Baht)')"
AF,AFGHANISTAN,0,0,68000,3297094
AU,AUSTRALIA,137000,7691120,950404,50233331
BD,BANGLADESH,187000,9249346,4669000,220881624
KH,CAMBODIA,0,0,5500,463560
CL,CHILE,0,0,34000,1738614
CN,CHINA,3995800,218456893,43147800,2133272922
DJ,DJIBOUTI,0,0,68000,3356598
ET,ETHIOPIA,0,0,34000,1702407
HK,HONG KONG,0,0,2400,128822
IN,INDIA,1154000,60419857,23734375,1140217247
ID,INDONESIA,143800,7679284,1474250,74279581
JP,JAPAN,0,0,26750,1492768
KR,"KOREA,REPUBLIC OF",500,38739,17675,999287
MY,MALAYSIA,17000,957222,245750,12796761
MU,MAURITIUS,0,0,7000,370055
PK,PAKISTAN,85000,4308273,1988000,97173403
PH,PHILIPPINES,900,61007,77100,4003918
SA,SAUDI ARABIA,0,0,218000,11228757
SG,SINGAPORE,550,54512,12750,835217
LK,SRI LANKA,102000,5413509,646000,32072406
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3100,275574
TR,TÜRKIYE,0,0,85000,4426348
US,UNITED STATES,19000,1073287,138006,7412912
VN,VIETNAM,32000,1753004,738072,35095465
SUM,SUM,5874550,317156053,78390932,3837754671
