"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
AR,ARGENTINA,700,54831,101900,6960084
AU,AUSTRALIA,76680,4499256,104400,6312584
BD,BANGLADESH,0,0,51000,1360495
BR,BRAZIL,0,0,2000,105216
KH,CAMBODIA,19000,842635,19000,842635
CN,CHINA,5381195,98691031,9198008,157274082
FJ,FIJI,0,0,17850,735910
DE,GERMANY,10000,35876,10000,35876
HK,HONG KONG,51800,434999,183400,1357858
IN,INDIA,181200,3811239,490800,11484976
ID,INDONESIA,73500,3822429,174355,7505620
JP,JAPAN,332673,11313116,386573,12938439
KR,"KOREA,REPUBLIC OF",3000,136941,4000,284034
LA,LAO PDR,8550,538353,26050,1462054
MY,MALAYSIA,51829,4275758,96670,10265086
MM,MYANMAR,0,0,2500,226500
NP,NEPAL,12000,1775738,12000,1775738
NZ,NEW ZEALAND,19920,1546110,19920,1546110
PK,PAKISTAN,68825,4329041,69825,4394749
PH,PHILIPPINES,7900,380450,16000,971048
SG,SINGAPORE,13000,1346786,30000,3022099
SK,SLOVAKIA,100,9518,101,9731
SI,SLOVENIA,46030,1447611,275900,8157567
ZA,SOUTH AFRICA,9750,700851,18265,1400439
TW,"TAIWAN, PROVINCE OF CHINA",206800,7963556,329300,13756615
TR,TÜRKIYE,12000,658988,12000,658988
AE,UNITED ARAB EMIRATES,6350,397201,6350,397201
GB,UNITED KINGDOM,0,0,10,298
US,UNITED STATES,1002,563022,1002,563022
UY,URUGUAY,0,0,600,98018
VN,VIETNAM,207546,18026774,257946,21938099
SUM,SUM,6801350,167602110,11917725,277841171
