"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
IN,INDIA,1000,43604,1000,43604
JP,JAPAN,0,0,580,454367
KR,"KOREA,REPUBLIC OF",0,0,145,73627
MM,MYANMAR,9800,433000,54380,1509600
SG,SINGAPORE,0,0,360,72670
VN,VIETNAM,0,0,50,13922
SUM,SUM,10800,476604,56515,2167790
