"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
AU,AUSTRALIA,28500,705717,87602,3058996
BD,BANGLADESH,0,0,1598000,62755709
BE,BELGIUM,0,0,63,358
BR,BRAZIL,40000,1980960,1417500,59346821
KH,CAMBODIA,8025,699887,781075,34100358
CM,CAMEROON,0,0,51000,1965924
CN,CHINA,2351583,34707900,20992056,387725087
CG,CONGO,0,0,714000,27058941
CI,COTE D IVOIRE,0,0,51000,1968670
CZ,CZECH REPUBLIC,0,0,50,6278
DJ,DJIBOUTI,0,0,508247,3858998
EG,EGYPT,0,0,17000,484428
SV,EL SALVADOR,0,0,104000,3621369
FJ,FIJI,0,0,16000,413220
PF,FRENCH POLYNESIA,0,0,90000,3645863
DE,GERMANY,0,0,70,2178
GH,GHANA,0,0,474350,14461522
GT,GUATEMALA,0,0,154750,5345573
GN,GUINEA,0,0,510000,19293275
GY,GUYANA,0,0,26000,1294377
HK,HONG KONG,300,31152,756850,29331273
IN,INDIA,567119,31406141,7634162,317789519
ID,INDONESIA,23273,1906949,24559664,1038617749
IL,ISRAEL,0,0,612000,24628090
JP,JAPAN,7115,952024,2485074,111912327
KE,KENYA,0,0,17000,877867
KR,"KOREA,REPUBLIC OF",0,0,257219,2486667
LA,LAO PDR,52425,2875338,260075,13945395
MG,MADAGASCAR,0,0,96225,2680148
MY,MALAYSIA,84535,3094048,3612284,133162739
MU,MAURITIUS,0,0,51000,2027620
MZ,MOZAMBIQUE,0,0,50,1907
MM,MYANMAR,173470,6367241,1733095,62911847
NZ,NEW ZEALAND,42000,1296538,56000,1722671
NG,NIGERIA,0,0,204100,7951739
PK,PAKISTAN,2500,175157,1346985,54305008
PE,PERU,0,0,52000,1689301
PH,PHILIPPINES,33163,4569239,4833970,215260687
QA,QATAR,0,0,643000,31283937
SG,SINGAPORE,0,0,234326,10663444
SI,SLOVENIA,0,0,138600,4327156
ZA,SOUTH AFRICA,20000,1324200,279500,16853610
LK,SRI LANKA,17000,420393,250000,20405551
TW,"TAIWAN, PROVINCE OF CHINA",5000,502041,31655,2147778
TR,TÜRKIYE,0,0,2200,309756
AE,UNITED ARAB EMIRATES,0,0,68000,3631747
GB,UNITED KINGDOM,0,0,24980,964000
US,UNITED STATES,250,116359,1514592,95157722
VN,VIETNAM,4100,250130,3075670,137567041
SUM,SUM,3460358,93381414,82423039,2975022241
