"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'FOB (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'FOB (Baht)')"
BD,BANGLADESH,0,0,7200,397144
HK,HONG KONG,26425,1479133,30673,1768567
IN,INDIA,1130,98897,30530,1943047
ID,INDONESIA,516100,23746787,3722550,162881795
JP,JAPAN,300,28329,16410,1047980
KR,"KOREA,REPUBLIC OF",0,0,50,6625
MY,MALAYSIA,12000,956536,112800,8645468
PK,PAKISTAN,0,0,4000,256574
TW,"TAIWAN, PROVINCE OF CHINA",80,621,858,11266
US,UNITED STATES,0,310,2010,273097
VN,VIETNAM,0,0,200,17125
SUM,SUM,556035,26310613,3927281,177248688
