"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
KH,CAMBODIA,2275,31850,38625,541050
CN,CHINA,0,0,1683525,73224540
HK,HONG KONG,0,0,1,97
IN,INDIA,414,267186,2255,1448216
ID,INDONESIA,0,0,2000,91632
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
MY,MALAYSIA,56209,2965752,239926,11868601
PH,PHILIPPINES,0,0,35045,1749460
LK,SRI LANKA,0,0,2000,81486
SUM,SUM,58898,3264788,2004797,89027825
