"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'FOB (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'FOB (Baht)')"
AR,ARGENTINA,75000,3917104,75000,3917104
AU,AUSTRALIA,794040,47254257,794040,47254257
BD,BANGLADESH,252500,13407260,252500,13407260
BR,BRAZIL,632975,40897996,632975,40897996
CN,CHINA,15207200,805107823,15207200,805107823
EC,ECUADOR,51000,2624315,51000,2624315
FJ,FIJI,3500,184153,3500,184153
FR,FRANCE,25500,1516540,25500,1516540
HK,HONG KONG,124850,7125213,124850,7125213
IN,INDIA,2761600,147116177,2761600,147116177
ID,INDONESIA,1336725,74769864,1336725,74769864
IL,ISRAEL,26017,1403652,26017,1403652
JP,JAPAN,1131600,59112716,1131600,59112716
KR,"KOREA,REPUBLIC OF",184200,4697232,184200,4697232
LA,LAO PDR,83,14832,83,14832
MY,MALAYSIA,511250,30908995,511250,30908995
MU,MAURITIUS,34000,1805850,34000,1805850
MM,MYANMAR,250,12732,250,12732
NL,NETHERLANDS,225000,12628804,225000,12628804
NZ,NEW ZEALAND,117250,6175613,117250,6175613
NG,NIGERIA,119000,6130180,119000,6130180
OM,OMAN,500,30435,500,30435
PK,PAKISTAN,232000,14822495,232000,14822495
PH,PHILIPPINES,968000,56923034,968000,56923034
SG,SINGAPORE,25,838,25,838
ZA,SOUTH AFRICA,200500,14612675,200500,14612675
LK,SRI LANKA,67600,3542867,67600,3542867
TW,"TAIWAN, PROVINCE OF CHINA",13700,698141,13700,698141
TR,TÜRKIYE,126000,6950084,126000,6950084
AE,UNITED ARAB EMIRATES,25500,1423818,25500,1423818
US,UNITED STATES,18000,941267,18000,941267
VN,VIETNAM,502350,28290254,502350,28290254
SUM,SUM,25767715,1395047216,25767715,1395047216
