"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
AR,ARGENTINA,0,0,189000,13843144
AU,AUSTRALIA,101000,5655821,395745,29833952
BD,BANGLADESH,0,0,26300,1832827
KH,CAMBODIA,6000,313556,56380,3165615
CN,CHINA,10660224,271803388,66566589,1305233580
FJ,FIJI,0,0,15300,988122
DE,GERMANY,28000,144265,461268,44827125
HK,HONG KONG,0,0,10202,82779
IN,INDIA,384212,13114700,4201150,155491870
ID,INDONESIA,139793,7583121,1418647,69364815
IT,ITALY,1,74,11,402
JP,JAPAN,9234,1075488,276771,21396002
KE,KENYA,0,0,100000,3190593
KR,"KOREA,REPUBLIC OF",246697,1167180,2084693,11240328
LA,LAO PDR,500,195052,82122,6306559
MY,MALAYSIA,206650,7387984,1766176,70068016
MV,MALDIVES,0,0,4,200
MU,MAURITIUS,0,0,3000,522236
MM,MYANMAR,0,0,32025,2108413
NP,NEPAL,0,0,10000,1495462
NL,NETHERLANDS,50,1840,50,1840
NZ,NEW ZEALAND,3925,435110,23250,1300559
PK,PAKISTAN,0,0,26000,891856
PH,PHILIPPINES,6418,832468,55593,6167900
SG,SINGAPORE,50,6683,99981,12789309
SI,SLOVENIA,184000,8010136,1499900,58829880
ZA,SOUTH AFRICA,0,0,115750,3547867
ES,SPAIN,0,0,27500,144725
TW,"TAIWAN, PROVINCE OF CHINA",53600,2579704,865175,40017966
TZ,TANZANIA UNITED REPUBLIC OF,0,0,84000,3036239
TR,TÜRKIYE,12500,1856410,33602,5034975
AE,UNITED ARAB EMIRATES,0,0,69975,5741944
GB,UNITED KINGDOM,15354,904100,18679,1590762
US,UNITED STATES,2256,498002,202664,6822231
VN,VIETNAM,70825,9208417,521850,53217908
SUM,SUM,12131289,332773499,81339352,1940128001
