"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'FOB (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'FOB (Baht)')"
CN,CHINA,125,13112,10500,1172392
ID,INDONESIA,80000,5124511,499550,30933367
JP,JAPAN,0,0,22100,1702320
KR,"KOREA,REPUBLIC OF",0,0,3500,115152
MY,MALAYSIA,0,0,25,7528
MX,MEXICO,0,0,50,2484
ZA,SOUTH AFRICA,750,63415,37450,2760234
US,UNITED STATES,0,0,12325,1492755
VN,VIETNAM,600,148826,1925,689286
SUM,SUM,81475,5349864,587425,38875518
