"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'FOB (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,80000,3461324
AT,AUSTRIA,0,0,32000,2125746
BH,BAHRAIN,0,0,38700,1015297
CA,CANADA,0,0,16000,685937
CN,CHINA,700,41521,2800,185193
IN,INDIA,0,0,445500,20305024
ID,INDONESIA,0,0,445500,21077996
IL,ISRAEL,0,0,1200,69973
JP,JAPAN,0,0,2250,120604
MY,MALAYSIA,0,0,28250,1251595
MM,MYANMAR,0,0,61440,2236185
ZA,SOUTH AFRICA,0,0,49300,2573160
US,UNITED STATES,0,0,9100,628129
VN,VIETNAM,371250,12660533,372300,12726693
SUM,SUM,371950,12702054,1584340,68462856
