"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'FOB (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'FOB (Baht)')"
AU,AUSTRALIA,282000,11743257,610825,26274436
BD,BANGLADESH,181750,7312053,271000,10860486
BR,BRAZIL,96000,4463702,96100,4467956
KH,CAMBODIA,310000,13301524,624400,28979061
CA,CANADA,164000,6728535,302000,13092104
CL,CHILE,72000,3116232,216000,8792064
CN,CHINA,8988725,341223420,17522500,670030635
CO,COLOMBIA,153000,6159401,201000,8051345
CI,COTE D IVOIRE,40500,1857918,40500,1857918
EC,ECUADOR,51000,2228262,51000,2228262
FJ,FIJI,28175,1397387,42375,2143654
PF,FRENCH POLYNESIA,0,0,13500,606791
GA,GABON,27500,1244055,45000,1966154
DE,GERMANY,132000,6370411,552000,30976425
GR,GREECE,0,0,96000,5608750
GW,GUINEA-BISSAU,25450,1424127,25450,1424127
HK,HONG KONG,51000,1851108,51000,1851108
IN,INDIA,1879994,76015341,5089919,207541749
ID,INDONESIA,1739250,76859511,2781650,125252815
IL,ISRAEL,144000,7191184,364475,19601974
JP,JAPAN,186025,8729110,342525,17156113
KR,"KOREA,REPUBLIC OF",348000,15694176,469640,21234156
LA,LAO PDR,15000,935496,15000,935496
LT,LITHUANIA,105000,3765273,251500,10029487
MG,MADAGASCAR,0,0,33000,1736487
MY,MALAYSIA,1223000,46660583,3105550,119586732
MU,MAURITIUS,84600,4300196,119775,6427970
MM,MYANMAR,583500,24314198,909050,38744228
NC,NEW CALEDONIA,0,0,13500,597456
NZ,NEW ZEALAND,973000,39032620,1588500,63293379
NG,NIGERIA,153000,3594455,646000,15949486
PK,PAKISTAN,35000,1187873,105000,3660469
PH,PHILIPPINES,456800,18194404,921300,36119123
PL,POLAND,179250,6621867,327750,13458087
RE,REUNION,62000,2902915,62000,2902915
RU,RUSSIAN FEDERATION,51000,2912174,51000,2912174
SN,SENEGAL,68875,3327905,68875,3327905
SG,SINGAPORE,0,0,12000,1333454
SB,SOLOMON ISLANDS,14175,703033,14175,703033
SO,SOMALIA,119525,4536929,119525,4536929
ZA,SOUTH AFRICA,132000,6996304,132000,6996304
LK,SRI LANKA,17500,672459,17500,672459
SE,SWEDEN,47925,2853686,95925,5882456
TW,"TAIWAN, PROVINCE OF CHINA",420000,19266351,495500,22374666
TT,TRINIDAD AND TOBAGO,102000,4297857,204000,8874498
TR,TÜRKIYE,102000,4446604,102000,4446604
AE,UNITED ARAB EMIRATES,172000,7347161,172000,7347161
GB,UNITED KINGDOM,148500,5339010,247500,9807172
US,UNITED STATES,39000,1749752,83000,4107767
VN,VIETNAM,1285900,54178909,1852600,79063847
SUM,SUM,21490919,865048728,41574384,1685825827
