"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'FOB (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'FOB (Baht)')"
CN,CHINA,0,0,550,32690
JP,JAPAN,2250,176357,5300,389307
PH,PHILIPPINES,24000,1709933,149500,10565409
SUM,SUM,26250,1886290,155350,10987406
