"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
CN,CHINA,100,17808,100,17808
HK,HONG KONG,150,30944,150,30944
MY,MALAYSIA,0,0,14000,904100
SG,SINGAPORE,0,0,70,21729
ZA,SOUTH AFRICA,15000,1163550,57000,4421280
VN,VIETNAM,0,0,850,325355
SUM,SUM,15250,1212302,72170,5721216
