"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
AU,AUSTRALIA,51750,5363459,181750,14382071
AT,AUSTRIA,1100,119207,3100,274898
BD,BANGLADESH,6000,625887,21625,1879454
BY,BELARUS,0,0,1000,170372
BE,BELGIUM,0,0,147,4772
BR,BRAZIL,5000,529856,72000,7387168
CA,CANADA,0,0,36000,3075650
CN,CHINA,315800,37216241,1582680,163382664
DJ,DJIBOUTI,64000,1918371,64000,1918371
ET,ETHIOPIA,0,0,64000,1846248
GA,GABON,0,0,48600,1391803
DE,GERMANY,3000,188503,3000,188503
GH,GHANA,15950,472498,64350,1959921
HK,HONG KONG,34986,2305618,118044,7105303
IN,INDIA,163825,14962024,992500,80345156
ID,INDONESIA,49865,4739912,511228,41381113
JP,JAPAN,153225,3546382,763489,18910607
KR,"KOREA,REPUBLIC OF",0,0,7000,671462
KW,KUWAIT,0,698,0,1210
LA,LAO PDR,10,1800,61010,3059702
LR,LIBERIA,48000,1571618,528000,17198624
MY,MALAYSIA,59000,4080973,403535,26471186
ML,MALI,0,0,16000,555605
MM,MYANMAR,1000,83990,8500,698990
NL,NETHERLANDS,0,0,156000,4073327
PK,PAKISTAN,500,40176,18125,1797923
PH,PHILIPPINES,175,7296,47174,4311414
SG,SINGAPORE,24750,1157665,24761,1157818
ZA,SOUTH AFRICA,0,0,64000,3792540
LK,SRI LANKA,0,0,72500,2086926
TW,"TAIWAN, PROVINCE OF CHINA",54600,6007202,230536,26040224
TZ,TANZANIA UNITED REPUBLIC OF,16200,472327,16200,472327
TR,TÜRKIYE,0,0,850,135561
UG,UGANDA,0,0,46,22894
AE,UNITED ARAB EMIRATES,0,0,1100,181148
US,UNITED STATES,0,0,8000,736422
VN,VIETNAM,3900,567972,12579,2139950
SUM,SUM,1072636,85979675,6203429,441209327
