"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
AU,AUSTRALIA,15000,358349,15000,358349
CM,CAMEROON,0,0,16250,403407
CN,CHINA,2675,105601,10325,496244
GA,GABON,0,0,48000,1426555
GH,GHANA,0,0,227500,5552520
HK,HONG KONG,600,75031,26925,4390533
IN,INDIA,4425,772171,18100,2711636
ID,INDONESIA,56000,2850985,275650,15482509
JP,JAPAN,1150,247027,17450,1397586
KE,KENYA,0,0,16250,432553
KR,"KOREA,REPUBLIC OF",0,0,1770,255313
LA,LAO PDR,3,3750,91,30876
MY,MALAYSIA,0,0,1475,89778
MX,MEXICO,0,0,15000,714101
PK,PAKISTAN,0,0,220,62104
ZA,SOUTH AFRICA,7400,988547,43100,5948243
LK,SRI LANKA,0,0,112000,2801816
TW,"TAIWAN, PROVINCE OF CHINA",0,0,600,75621
VN,VIETNAM,145500,6381423,936000,43732166
SUM,SUM,232753,11782884,1781706,86361910
