"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'FOB (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'FOB (Baht)')"
AU,AUSTRALIA,871410,46841005,1751100,116138829
AT,AUSTRIA,50,9170,150,116178
BD,BANGLADESH,3540,453638,111880,7808812
BE,BELGIUM,99000,6106705,673200,42766223
KH,CAMBODIA,2000,90351,12000,593043
CN,CHINA,13659777,719759264,78293747,4820437422
ET,ETHIOPIA,0,0,16000,470906
FJ,FIJI,7500,323179,38000,1717044
DE,GERMANY,24500,1470513,224400,15241886
GH,GHANA,0,0,31000,775000
HK,HONG KONG,214175,11045017,922416,50759150
IN,INDIA,2462745,114054237,13045444,641554795
ID,INDONESIA,3349440,155901191,6205935,352582053
JP,JAPAN,6642847,342045474,24987851,1478466861
KR,"KOREA,REPUBLIC OF",683850,46477876,6026385,430295455
LA,LAO PDR,2500,132920,46425,1809679
MY,MALAYSIA,344620,19652510,1433895,103713430
MU,MAURITIUS,0,0,34100,908613
MM,MYANMAR,10255,403586,38291,1255891
NP,NEPAL,0,0,59400,3933137
NL,NETHERLANDS,0,0,0,177
NZ,NEW ZEALAND,136940,6207996,320840,20618278
PK,PAKISTAN,24790,1145434,25030,1217259
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,642100,29209285,821400,41311530
SA,SAUDI ARABIA,0,0,34200,3153917
SG,SINGAPORE,63625,3498796,1583566,109458672
ZA,SOUTH AFRICA,0,0,8600,1779677
ES,SPAIN,0,0,300,21352
LK,SRI LANKA,67000,2725400,183700,9506477
SE,SWEDEN,3,1180,3,1180
CH,SWITZERLAND,0,0,200,26662
TW,"TAIWAN, PROVINCE OF CHINA",624325,35943498,3390893,210437907
TR,TÜRKIYE,0,0,11000,884064
US,UNITED STATES,57613,4096443,179037,12406986
VN,VIETNAM,625320,45049195,4635737,348996223
SUM,SUM,30619925,1592643863,145146175,8831172227
