"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'FOB (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'FOB (Baht)')"
AU,AUSTRALIA,113000,7253969,301000,19064368
BD,BANGLADESH,674500,40574841,3190500,193476083
KH,CAMBODIA,0,0,1760,130633
CL,CHILE,0,0,34000,2058360
CN,CHINA,8698000,544361968,40424000,2467531083
DJ,DJIBOUTI,68000,4292922,68000,4292922
HK,HONG KONG,0,0,5000,325798
IN,INDIA,214000,13230653,6788050,408669179
ID,INDONESIA,68000,4177932,1140500,69202509
JP,JAPAN,12000,868360,26700,1889800
KR,"KOREA,REPUBLIC OF",0,0,11150,634435
MY,MALAYSIA,5254,410313,127254,8399280
MU,MAURITIUS,0,0,7000,428077
MX,MEXICO,0,0,15968,1401620
PK,PAKISTAN,68000,4048770,629000,37689347
PH,PHILIPPINES,0,0,125315,7729196
SA,SAUDI ARABIA,24000,1551223,24000,1551223
SG,SINGAPORE,0,0,55150,3572927
LK,SRI LANKA,100,4251,425956,25930847
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1700,117333
US,UNITED STATES,0,0,169000,10463963
VN,VIETNAM,90000,5508961,597950,36370952
SUM,SUM,10034854,626284163,54168953,3300929935
