"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
CA,CANADA,0,0,800,20205
CN,CHINA,144300,2327475,299990,10005459
IN,INDIA,59200,6895889,218200,25269691
ID,INDONESIA,27548,1309114,319298,15238890
JP,JAPAN,0,0,3000,147096
KE,KENYA,0,0,16500,337192
KR,"KOREA,REPUBLIC OF",2000,211716,6000,632487
MY,MALAYSIA,0,0,1500,189584
MX,MEXICO,0,0,49500,2159696
PK,PAKISTAN,500,20641,500,20641
TW,"TAIWAN, PROVINCE OF CHINA",0,0,49759,967407
VN,VIETNAM,34000,1046114,130900,4327671
SUM,SUM,267548,11810949,1095947,59316019
