"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'FOB (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,1000,38127
CN,CHINA,487290,11643561,10140377,237452443
CI,COTE D IVOIRE,0,0,11500,871076
IN,INDIA,0,0,500,79948
JP,JAPAN,80000,3535353,412664,19420385
KR,"KOREA,REPUBLIC OF",0,0,499,53332
LA,LAO PDR,8000,365293,40050,1839982
MY,MALAYSIA,0,0,3,254
SG,SINGAPORE,0,0,300,14772
LK,SRI LANKA,0,0,25,1128
VN,VIETNAM,0,0,3200,286360
SUM,SUM,575290,15544207,10610118,260057807
