"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
AU,AUSTRALIA,669890,30168045,6187480,329247662
BD,BANGLADESH,76500,3340320,1424000,71245593
BE,BELGIUM,0,0,1179000,76581529
KH,CAMBODIA,0,0,34300,2236754
CM,CAMEROON,16500,719762,16500,719762
CN,CHINA,35383510,3239761775,446260879,31825052504
FJ,FIJI,0,0,75000,3767919
FR,FRANCE,0,0,99000,5194639
HK,HONG KONG,8800,1111604,190100,19618977
IN,INDIA,1583800,116359381,22765170,1571443699
ID,INDONESIA,6811360,313220267,67913105,3353556253
IR,IRAN (ISLAMIC REPUBLIC OF),49500,3191986,420750,23908388
JP,JAPAN,7089500,439645619,70112750,4112717581
KZ,KAZAKHSTAN,0,0,141000,6827668
KR,"KOREA,REPUBLIC OF",396200,38210397,5991800,514440662
LT,LITHUANIA,192000,8286077,192000,8286077
MY,MALAYSIA,710800,35948490,10607570,556692905
MM,MYANMAR,55500,2360159,2361950,108985837
NZ,NEW ZEALAND,51970,3608271,2615190,145127933
PK,PAKISTAN,0,0,717150,44836904
PH,PHILIPPINES,424850,20257605,11775825,559704784
PT,PORTUGAL,0,0,492000,25973162
RE,REUNION,0,0,4500,234755
RU,RUSSIAN FEDERATION,80500,3475150,754000,37090259
SG,SINGAPORE,81400,5835250,1958025,148318376
ZA,SOUTH AFRICA,99000,4689963,132000,6217541
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,16500,787319,517275,24676625
TW,"TAIWAN, PROVINCE OF CHINA",360400,20020954,7183800,394185036
TR,TÜRKIYE,0,0,1449500,60919567
AE,UNITED ARAB EMIRATES,24750,1168830,25750,1217727
US,UNITED STATES,22750,2811742,426323,44301931
VN,VIETNAM,1971700,211099399,15696440,1102063613
SUM,SUM,56177680,4506078365,679720182,45185394823
