"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
BD,BANGLADESH,0,0,12000,1482728
CN,CHINA,34400,3433121,248293,23004118
EG,EGYPT,0,0,3000,222308
IN,INDIA,382950,33693441,1591588,136018934
ID,INDONESIA,7500,784901,281925,25006613
KR,"KOREA,REPUBLIC OF",66000,2835335,81000,4366082
MY,MALAYSIA,32525,3853650,236135,26542101
PH,PHILIPPINES,12000,1002637,24510,1914483
TW,"TAIWAN, PROVINCE OF CHINA",45000,3202899,55000,4073437
US,UNITED STATES,18000,1492733,108000,9376837
VN,VIETNAM,3001,449429,56301,5853893
SUM,SUM,601376,50748146,2697752,237861534
