"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'FOB (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'FOB (Baht)')"
AR,ARGENTINA,93700,6444274,570850,40646058
AU,AUSTRALIA,147195,8821922,897454,51472051
AT,AUSTRIA,0,0,1000,45818
BD,BANGLADESH,16500,430880,102000,2519657
KH,CAMBODIA,0,0,38000,1626374
CM,CAMEROON,48750,1060878,86000,1291432
CN,CHINA,6132171,86372723,104583090,1962208174
EG,EGYPT,9225,397989,9225,397989
FJ,FIJI,0,0,28700,1118048
FR,FRANCE,5,150,5,150
DE,GERMANY,0,0,1470,61445
GH,GHANA,0,0,97500,2089376
HK,HONG KONG,77700,457444,493717,3639879
IN,INDIA,330641,10779197,3957926,102524729
ID,INDONESIA,204500,7249245,1737835,69214300
IE,IRELAND,0,0,1,90
IL,ISRAEL,0,0,600,40725
IT,ITALY,0,0,25,778
JP,JAPAN,9699,417764,691987,31329548
KR,"KOREA,REPUBLIC OF",400,18730,55307,4039467
LA,LAO PDR,6500,437499,63959,3745359
LU,LUXEMBOURG,0,0,200,3223
MY,MALAYSIA,77158,5878710,438429,37697189
MU,MAURITIUS,0,0,45000,1245338
YT,MAYOTTE,0,0,1,150
MX,MEXICO,0,0,200,35236
MM,MYANMAR,0,0,36754,1599448
NP,NEPAL,12025,1482109,50575,3215139
NZ,NEW ZEALAND,33370,2274360,213240,15029263
PK,PAKISTAN,0,0,44100,2744463
PH,PHILIPPINES,6400,306478,169270,9624517
SG,SINGAPORE,8500,970776,152353,15694827
SI,SLOVENIA,0,0,1426090,35505958
ZA,SOUTH AFRICA,16850,1223855,174250,12590062
ES,SPAIN,56,5488,56,5488
LK,SRI LANKA,0,0,54511,2534000
CH,SWITZERLAND,0,0,27,317
TW,"TAIWAN, PROVINCE OF CHINA",272200,8453409,2158620,81896270
TG,TOGO,0,0,1000,158295
TR,TÜRKIYE,0,0,96330,7736699
UA,UKRAINE,0,0,2000,308275
AE,UNITED ARAB EMIRATES,1550,214014,81850,5111130
GB,UNITED KINGDOM,2000,320667,29100,679091
US,UNITED STATES,0,19,18792,192136
VN,VIETNAM,52180,4410687,733791,54030702
SUM,SUM,7559275,148429267,119343190,2565648663
