"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'FOB (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'FOB (Baht)')"
AR,ARGENTINA,4500,313658,57000,4104482
AU,AUSTRALIA,40805,3358793,95825,7705227
BD,BANGLADESH,17500,677922,17500,677922
KH,CAMBODIA,0,0,26000,1565124
CN,CHINA,7418362,101266231,20351738,256987758
FJ,FIJI,0,0,15000,935495
DE,GERMANY,264000,27820600,264850,27909963
HK,HONG KONG,150,27612,150,27612
IN,INDIA,617550,22867344,1169925,43678708
ID,INDONESIA,216650,9386743,226277,10398738
IT,ITALY,0,0,10,328
JP,JAPAN,1110,104628,172119,12098855
KR,"KOREA,REPUBLIC OF",193200,926160,628386,3291529
LA,LAO PDR,6521,563608,18721,1615937
MY,MALAYSIA,34680,3441418,145221,15335795
MM,MYANMAR,20000,1123664,20000,1123664
NP,NEPAL,10000,1495462,10000,1495462
NZ,NEW ZEALAND,0,0,1025,108631
PH,PHILIPPINES,12000,1049832,15000,1558847
SG,SINGAPORE,300,74251,26519,3209121
SI,SLOVENIA,92080,3172698,299290,10002957
ZA,SOUTH AFRICA,64000,1851041,64000,1851041
TW,"TAIWAN, PROVINCE OF CHINA",49600,1974166,202425,8481416
TR,TÜRKIYE,0,0,8002,1161116
AE,UNITED ARAB EMIRATES,15000,1925122,27275,2876600
US,UNITED STATES,10000,415517,103831,3496529
VN,VIETNAM,31885,4062900,175950,13339071
SUM,SUM,9119893,187899370,24142039,435037928
