"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
AU,AUSTRALIA,31,28354,121,47623
KH,CAMBODIA,15500,384000,26172,551523
CN,CHINA,0,0,104577,1500075
DE,GERMANY,112,15171,113,23609
HK,HONG KONG,38,5057,38,5057
IN,INDIA,112000,4937064,858000,36763230
ID,INDONESIA,0,0,376,683247
IE,IRELAND,0,0,7,13185
IT,ITALY,0,0,76,10114
JP,JAPAN,0,0,303,40941
KR,"KOREA,REPUBLIC OF",0,0,7040,231343
LA,LAO PDR,2359,502425,3659,643348
MY,MALAYSIA,0,0,41,1392
MM,MYANMAR,0,0,2000,50000
NO,NORWAY,0,0,77,10146
SG,SINGAPORE,2000,103756,6000,358582
LK,SRI LANKA,0,0,24750,1032637
SE,SWEDEN,0,0,0,4
CH,SWITZERLAND,0,0,75,10114
TW,"TAIWAN, PROVINCE OF CHINA",0,0,224,30342
AE,UNITED ARAB EMIRATES,93,11500,93,11500
VN,VIETNAM,0,0,1300,303305
SUM,SUM,132133,5987327,1035042,42321317
