"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'FOB (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,69,43183
BN,BRUNEI DARUSSALAM,0,0,60,5283
KH,CAMBODIA,40,3080,1366,400880
CN,CHINA,0,0,570021,12677079
DE,GERMANY,0,0,44,5608
IN,INDIA,64000,2333746,789000,31605380
ID,INDONESIA,0,0,764,619544
IT,ITALY,0,0,74,10114
JP,JAPAN,0,0,196,44425
KR,"KOREA,REPUBLIC OF",37,5057,314,20423
LA,LAO PDR,5271,371772,93616,7163208
MY,MALAYSIA,0,0,0,327
MM,MYANMAR,0,0,256,106000
NO,NORWAY,37,5057,37,5057
SG,SINGAPORE,900,55527,3122,209371
ZA,SOUTH AFRICA,0,0,52,14953
LK,SRI LANKA,0,0,9000,445445
TZ,TANZANIA UNITED REPUBLIC OF,0,0,10000,510406
SUM,SUM,70285,2774239,1477991,53886686
