"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
CN,CHINA,18525,990571,34825,1901943
HK,HONG KONG,0,0,5025,309502
ID,INDONESIA,3000,287532,124800,17358009
JP,JAPAN,0,0,2175,160637
LA,LAO PDR,14500,599000,116000,5150000
PH,PHILIPPINES,12000,861491,92000,5354283
ZA,SOUTH AFRICA,0,0,6050,430707
US,UNITED STATES,500,42197,1175,96589
VN,VIETNAM,48000,2581449,295775,16719254
SUM,SUM,96525,5362240,677825,47480924
