"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'FOB (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'FOB (Baht)')"
AO,ANGOLA,108000,2498206,212000,4846183
AU,AUSTRALIA,90000,1953596,125000,2972754
BD,BANGLADESH,24750,1885490,24750,1885490
BE,BELGIUM,45600,4337204,213600,20348744
KH,CAMBODIA,0,0,27407,4150804
CN,CHINA,60450,4403608,117060,8961586
EG,EGYPT,75,2262,75,2262
HK,HONG KONG,16,603,216,22647
IN,INDIA,839950,55209539,1252205,84585789
ID,INDONESIA,228600,15826646,478130,33670802
JP,JAPAN,24000,2236446,67832,5354957
KR,"KOREA,REPUBLIC OF",12000,905563,12000,905563
LA,LAO PDR,171,48470,207,59349
MG,MADAGASCAR,264000,6194832,264000,6194832
MY,MALAYSIA,32250,2767296,64470,5947045
MM,MYANMAR,27120,664818,27120,664818
NL,NETHERLANDS,100,6808,100,6808
PK,PAKISTAN,2725,522207,2775,522948
PH,PHILIPPINES,31197,2177734,69822,5093686
SA,SAUDI ARABIA,48000,3035478,121600,7394714
SG,SINGAPORE,2000,456006,5050,1135888
ZA,SOUTH AFRICA,18950,164863,18950,164863
LK,SRI LANKA,0,0,110,21808
TW,"TAIWAN, PROVINCE OF CHINA",42225,4413117,88225,8627951
AE,UNITED ARAB EMIRATES,0,0,30000,652581
US,UNITED STATES,10000,490871,20000,978271
VN,VIETNAM,14482,1155423,31721,2527112
SUM,SUM,1926661,111357086,3274425,207700255
