"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'FOB (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'FOB (Baht)')"
AU,AUSTRALIA,237400,18036079,1302100,100498105
BD,BANGLADESH,209000,11623572,1615719,99135795
BE,BELGIUM,554400,35213018,4791060,301520590
CA,CANADA,0,0,1875,10806
CN,CHINA,9129952,564379139,68663722,4135413880
ET,ETHIOPIA,0,0,170000,5031262
FJ,FIJI,0,0,22000,1181029
FR,FRANCE,0,0,40,8596
GA,GABON,0,0,17000,526858
DE,GERMANY,0,0,150,6618
GH,GHANA,0,0,53000,1831588
HK,HONG KONG,110200,7462397,1289900,82924648
IN,INDIA,2256000,95719051,10209730,493461681
ID,INDONESIA,266700,18304404,2536713,162244063
JP,JAPAN,2530611,157913981,18547663,1137562404
KE,KENYA,0,0,33650,1168440
KR,"KOREA,REPUBLIC OF",1823925,123345797,13314950,885653433
LA,LAO PDR,59000,1814500,363377,10342762
MY,MALAYSIA,24475,1622956,1034250,67367111
MV,MALDIVES,16500,560711,49500,1776467
MU,MAURITIUS,34000,974668,34000,974668
MM,MYANMAR,0,0,270,24808
NL,NETHERLANDS,0,0,792000,65986466
NZ,NEW ZEALAND,30510,2400480,161610,12602156
PK,PAKISTAN,0,0,32175,1987317
PE,PERU,0,0,17000,657861
PH,PHILIPPINES,718800,38931278,4788050,256113913
SG,SINGAPORE,305900,20425566,1174472,77094942
ES,SPAIN,0,0,2790,201495
LK,SRI LANKA,29800,1619839,90192,5511104
CH,SWITZERLAND,0,0,750,3201
TW,"TAIWAN, PROVINCE OF CHINA",352557,21741344,2990020,184453768
TZ,TANZANIA UNITED REPUBLIC OF,0,0,85000,2800810
AE,UNITED ARAB EMIRATES,0,0,38,128
US,UNITED STATES,1050,6440,2219700,159187471
VN,VIETNAM,430807,30640194,2628621,182493249
SUM,SUM,19121587,1152735414,139033087,8437759493
