"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'FOB (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AU,AUSTRALIA,60000,3125922,179750,7915106
BR,BRAZIL,48000,3804388,168000,13501498
CN,CHINA,191377,17256779,367166,33020272
EG,EGYPT,0,0,1300,64461
GH,GHANA,97500,2364706,97500,2364706
HK,HONG KONG,0,0,10000,958620
IN,INDIA,800225,65039577,1550223,132292966
ID,INDONESIA,307275,24109622,861757,71652389
JP,JAPAN,4400,372793,6676,599687
KR,"KOREA,REPUBLIC OF",2100,499936,14350,1464268
MG,MADAGASCAR,0,0,33000,960022
MY,MALAYSIA,81900,7470204,161775,15477808
MM,MYANMAR,0,0,3000,456507
PH,PHILIPPINES,0,0,50361,5326359
SG,SINGAPORE,200,3224,900,9138
ZA,SOUTH AFRICA,25600,1605169,25600,1605169
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",21170,2157565,76620,7552733
AE,UNITED ARAB EMIRATES,0,0,36000,2288690
US,UNITED STATES,32300,2008848,32300,2008848
VN,VIETNAM,75641,6139842,185425,16842777
SUM,SUM,1747688,135958575,3877799,316804543
