"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'FOB (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,27000,673278
KH,CAMBODIA,30000,1497894,459975,23234564
CN,CHINA,40000,3190900,100000,7761308
HK,HONG KONG,0,0,160,21861
IN,INDIA,16000,608119,152000,5024649
ID,INDONESIA,17500,1197578,110550,6922276
JP,JAPAN,0,0,66401,3669866
LA,LAO PDR,2395,48000,2395,48000
MY,MALAYSIA,22087,1198666,81165,5099919
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,0,0,36000,1216383
PK,PAKISTAN,0,0,15000,653657
PH,PHILIPPINES,0,0,1004,79260
SE,SWEDEN,0,0,26000,1341239
US,UNITED STATES,0,0,1600,82789
SUM,SUM,127982,7741157,1128750,57566428
