"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'FOB (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'FOB (Baht)')"
AU,AUSTRALIA,22000,2840793,37000,4455326
BD,BANGLADESH,0,0,3650,351783
BR,BRAZIL,14225,1420686,14225,1420686
CN,CHINA,351350,31286968,1008200,70192145
CI,COTE D IVOIRE,0,0,32500,975644
EG,EGYPT,125,26565,125,26565
GH,GHANA,32500,986024,32500,986024
IN,INDIA,295600,26731283,444302,39445152
ID,INDONESIA,11525,1869558,18714,2961757
JP,JAPAN,10363,892838,13814,1676345
KE,KENYA,16250,604337,16250,604337
KR,"KOREA,REPUBLIC OF",17000,1809358,39000,4152428
LA,LAO PDR,80,6534,130,13068
MY,MALAYSIA,300,35096,64360,3345799
MM,MYANMAR,19625,923625,38125,1835475
SG,SINGAPORE,49500,2788528,49500,2788528
ZA,SOUTH AFRICA,0,0,17000,545844
LK,SRI LANKA,625,148409,625,148409
TW,"TAIWAN, PROVINCE OF CHINA",38365,4298900,107385,8566932
VN,VIETNAM,1215,122354,3215,249394
SUM,SUM,880648,76791856,1940620,144741641
